f0c0,f0c1,f1c0,f1c1
-1.14704,-1.14704,-1.14704,-1.14704
-10.2996,-10.2996,-10.2996,-10.2996
-2.99827,-2.99827,-2.99827,-2.99827
-10.2078,-10.2078,-10.2078,-10.2078
-2.88596,-2.88596,-2.88596,-2.88596
-9.06896,-9.06896,-9.06896,-9.06896
-3.9773,-3.9773,-3.9773,-3.9773
-5.62066,-5.62066,-5.62066,-5.62066
-6.61853,-6.61853,-6.61853,-6.61853
-0.804918,-0.804918,-0.804918,-0.804918
-7.72851,-7.72851,-7.72851,-7.72851
-0.817592,-0.817592,-0.817592,-0.817592
-0.551852,-0.551852,-0.551852,-0.551852
-4.77523,-4.77523,-4.77523,-4.77523
2.86838,2.86838,2.86838,2.86838
1.4951,1.4951,1.4951,1.4951
-1.41577,-1.41577,-1.41577,-1.41577
7.11464,7.11464,7.11464,7.11464
8.94089,8.94089,8.94089,8.94089
1.39526,1.39526,1.39526,1.39526
3.11012,3.11012,3.11012,3.11012
14.9498,14.9498,14.9498,14.9498
21.1626,21.1626,21.1626,21.1626
15.5384,15.5384,15.5384,15.5384
5.32109,5.32109,5.32109,5.32109
-1.64291,-1.64291,-1.64291,-1.64291
-3.68963,-3.68963,-3.68963,-3.68963
-2.9711,-2.9711,-2.9711,-2.9711
-1.67909,-1.67909,-1.67909,-1.67909
-0.75545,-0.75545,-0.75545,-0.75545
-0.285041,-0.285041,-0.285041,-0.285041
-0.0928181,-0.0928181,-0.0928181,-0.0928181
-0.0265707,-0.0265707,-0.0265707,-0.0265707
-0.00677497,-0.00677497,-0.00677497,-0.00677497
-0.00155397,-0.00155397,-0.00155397,-0.00155397
-0.000323148,-0.000323148,-0.000323148,-0.000323148
-6.13142e-05,-6.13142e-05,-6.13142e-05,-6.13142e-05
-1.06719e-05,-1.06719e-05,-1.06719e-05,-1.06719e-05
-1.71168e-06,-1.71168e-06,-1.71168e-06,-1.71168e-06
-2.53996e-07,-2.53996e-07,-2.53996e-07,-2.53996e-07
-3.49912e-08,-3.49912e-08,-3.49912e-08,-3.49912e-08
-4.48911e-09,-4.48911e-09,-4.48911e-09,-4.48911e-09
-5.37813e-10,-5.37813e-10,-5.37813e-10,-5.37813e-10
-6.03193e-11,-6.03193e-11,-6.03193e-11,-6.03193e-11
-6.34773e-12,-6.34773e-12,-6.34773e-12,-6.34773e-12
-6.28084e-13,-6.28084e-13,-6.28084e-13,-6.28084e-13
-5.85441e-14,-5.85441e-14,-5.85441e-14,-5.85441e-14
-5.14963e-15,-5.14963e-15,-5.14963e-15,-5.14963e-15
-4.28159e-16,-4.28159e-16,-4.28159e-16,-4.28159e-16
-3.37e-17,-3.37e-17,-3.37e-17,-3.37e-17
-2.51457e-18,-2.51457e-18,-2.51457e-18,-2.51457e-18
-1.78108e-19,-1.78108e-19,-1.78108e-19,-1.78108e-19
-1.19902e-20,-1.19902e-20,-1.19902e-20,-1.19902e-20
-7.6808e-22,-7.6808e-22,-7.6808e-22,-7.6808e-22
-4.68726e-23,-4.68734e-23,-4.68722e-23,-4.68726e-23
-2.72681e-24,-2.72691e-24,-2.72691e-24,-2.72691e-24
-1.51297e-25,-1.51297e-25,-1.51272e-25,-1.51297e-25
