tr,sigma,phi
-0.224065,0.639293,0.639293
-0.22101,0.640592,0.640592
-0.225306,0.634315,0.634315
-0.222963,0.637747,0.637747
-0.225477,0.642796,0.642796
-0.225465,0.631408,0.631408
-0.225612,0.638751,0.638751
-0.222516,0.639342,0.639342
-0.227131,0.632587,0.632587
-0.225669,0.639825,0.639825
-0.223766,0.637217,0.637217
-0.222695,0.638098,0.638098
-0.224814,0.630216,0.630216
-0.228819,0.634037,0.634037
-0.220922,0.639048,0.639048
-0.230785,0.639819,0.639819
-0.226574,0.636482,0.636482
-0.220528,0.636451,0.636451
-0.23005,0.635504,0.635504
-0.223439,0.637771,0.637771
-0.226479,0.641961,0.641961
-0.221451,0.636642,0.636642
-0.229081,0.63489,0.63489
-0.224941,0.639182,0.639182
-0.224004,0.638703,0.638703
-0.22048,0.633989,0.633989
-0.226601,0.635161,0.635161
-0.223647,0.635861,0.635861
-0.227235,0.631853,0.631853
-0.224821,0.636822,0.636822
-0.220804,0.633378,0.633378
-0.228231,0.631853,0.631853
-0.229465,0.632052,0.632052
-0.228615,0.634988,0.634988
-0.225706,0.635904,0.635904
-0.229882,0.630713,0.630713
-0.229205,0.633313,0.633313
-0.226451,0.634304,0.634304
-0.230653,0.632223,0.632223
-0.229435,0.634646,0.634646
-0.23055,0.634274,0.634274
-0.227971,0.628132,0.628132
-0.225526,0.6395,0.6395
-0.226679,0.636873,0.636873
-0.228414,0.634506,0.634506
-0.230289,0.635616,0.635616
-0.222492,0.635795,0.635795
-0.219303,0.63998,0.63998
-0.223635,0.637926,0.637926
-0.228496,0.638837,0.638837
-0.230059,0.638511,0.638511
-0.228701,0.636904,0.636904
-0.227879,0.636821,0.636821
-0.219911,0.634865,0.634865
-0.218729,0.637905,0.637905
-0.225727,0.631671,0.631671
-0.225569,0.635458,0.635458
-0.22058,0.633796,0.633796
-0.233088,0.635446,0.635446
-0.220366,0.633405,0.633405
-0.222336,0.640274,0.640274
-0.222161,0.637462,0.637462
-0.224224,0.636937,0.636937
-0.228439,0.634943,0.634943
-0.225105,0.636707,0.636707
-0.226656,0.634304,0.634304
-0.221115,0.640201,0.640201
-0.222149,0.629779,0.629779
-0.223018,0.63365,0.63365
-0.226629,0.640739,0.640739
-0.223602,0.63457,0.63457
-0.225808,0.635256,0.635256
-0.217634,0.637222,0.637222
-0.230413,0.636237,0.636237
-0.22726,0.641765,0.641765
-0.220235,0.636818,0.636818
-0.232073,0.636995,0.636995
-0.22327,0.634366,0.634366
-0.223365,0.634851,0.634851
-0.226332,0.634676,0.634676
-0.221562,0.641451,0.641451
-0.223689,0.633721,0.633721
-0.225577,0.63707,0.63707
-0.223106,0.639886,0.639886
-0.228981,0.635319,0.635319
-0.224541,0.63922,0.63922
-0.227317,0.632259,0.632259
-0.223301,0.638294,0.638294
-0.22479,0.637474,0.637474
-0.222946,0.634685,0.634685
-0.224056,0.636976,0.636976
-0.22139,0.635796,0.635796
-0.232635,0.637055,0.637055
-0.222738,0.639955,0.639955
-0.224513,0.634324,0.634324
-0.226025,0.638125,0.638125
-0.224847,0.641186,0.641186
-0.226478,0.636943,0.636943
-0.230664,0.641854,0.641854
-0.226321,0.634138,0.634138
-0.219498,0.634221,0.634221
-0.226716,0.630779,0.630779
-0.217906,0.635133,0.635133
-0.225889,0.639863,0.639863
-0.224938,0.637249,0.637249
-0.226272,0.642466,0.642466
-0.227891,0.634481,0.634481
-0.223911,0.634972,0.634972
-0.221478,0.630358,0.630358
-0.230439,0.635506,0.635506
-0.229178,0.633524,0.633524
-0.225562,0.633008,0.633008
-0.224901,0.642185,0.642185
-0.232087,0.637451,0.637451
-0.227293,0.637574,0.637574
-0.224136,0.635672,0.635672
-0.226265,0.630998,0.630998
-0.225437,0.635254,0.635254
-0.223262,0.639117,0.639117
-0.221833,0.639729,0.639729
-0.223187,0.632294,0.632294
-0.224859,0.636027,0.636027
-0.230955,0.631431,0.631431
-0.219656,0.638051,0.638051
-0.222374,0.636575,0.636575
-0.226698,0.63347,0.63347
-0.223111,0.640496,0.640496
-0.221594,0.639806,0.639806
-0.229306,0.631321,0.631321
-0.220881,0.632834,0.632834
-0.22746,0.62989,0.62989
-0.219303,0.632891,0.632891
-0.229607,0.636005,0.636005
-0.220583,0.636143,0.636143
-0.227536,0.636058,0.636058
-0.2237,0.641417,0.641417
-0.222321,0.635717,0.635717
-0.226844,0.642725,0.642725
-0.228662,0.634848,0.634848
-0.225177,0.637115,0.637115
-0.228473,0.63524,0.63524
-0.229772,0.638282,0.638282
-0.227691,0.636935,0.636935
-0.230505,0.635022,0.635022
-0.229076,0.64022,0.64022
-0.230226,0.630494,0.630494
-0.228367,0.633495,0.633495
-0.225805,0.639924,0.639924
-0.226268,0.637311,0.637311
-0.226215,0.637696,0.637696
-0.228283,0.635092,0.635092
-0.227402,0.639599,0.639599
-0.226615,0.639026,0.639026
-0.22296,0.634157,0.634157
-0.230823,0.637224,0.637224
-0.229588,0.638324,0.638324
-0.222908,0.635303,0.635303
-0.221173,0.634558,0.634558
-0.228485,0.636096,0.636096
-0.22101,0.633118,0.633118
-0.22375,0.636745,0.636745
-0.232284,0.630343,0.630343
-0.220763,0.637735,0.637735
-0.22814,0.63576,0.63576
-0.228682,0.632863,0.632863
-0.221566,0.635548,0.635548
-0.226142,0.638643,0.638643
-0.225314,0.637642,0.637642
-0.227345,0.634574,0.634574
-0.225461,0.636465,0.636465
-0.224612,0.636294,0.636294
-0.226919,0.633659,0.633659
-0.222862,0.634026,0.634026
-0.222886,0.633388,0.633388
-0.222754,0.640511,0.640511
-0.222566,0.635185,0.635185
-0.230693,0.637476,0.637476
-0.226416,0.640156,0.640156
-0.22486,0.636449,0.636449
-0.224825,0.633548,0.633548
-0.223597,0.642702,0.642702
-0.222328,0.639172,0.639172
-0.226674,0.634267,0.634267
-0.228521,0.637119,0.637119
-0.223638,0.636278,0.636278
-0.221627,0.636515,0.636515
-0.227816,0.632288,0.632288
-0.227816,0.6333,0.6333
-0.230076,0.634937,0.634937
-0.234603,0.636573,0.636573
-0.221657,0.635529,0.635529
-0.229883,0.630314,0.630314
-0.226066,0.636501,0.636501
-0.225534,0.636721,0.636721
-0.229,0.632744,0.632744
-0.221084,0.631847,0.631847
-0.221644,0.635928,0.635928
-0.228064,0.630717,0.630717
-0.227684,0.635217,0.635217
-0.219731,0.635404,0.635404
-0.230131,0.633092,0.633092
-0.22636,0.637364,0.637364
-0.226034,0.637452,0.637452
-0.219982,0.641983,0.641983
-0.225591,0.637876,0.637876
-0.223546,0.636413,0.636413
-0.225688,0.631096,0.631096
-0.22262,0.634944,0.634944
-0.222805,0.634514,0.634514
-0.225014,0.635266,0.635266
-0.224244,0.639157,0.639157
-0.228445,0.636219,0.636219
-0.222105,0.638338,0.638338
-0.221548,0.639689,0.639689
-0.229031,0.637017,0.637017
-0.222924,0.632714,0.632714
-0.222024,0.642634,0.642634
-0.226031,0.633432,0.633432
-0.21939,0.637296,0.637296
-0.222004,0.636872,0.636872
-0.229694,0.633178,0.633178
-0.226229,0.636612,0.636612
-0.223563,0.636988,0.636988
-0.226446,0.639201,0.639201
-0.224536,0.636135,0.636135
-0.224036,0.636677,0.636677
-0.228113,0.633297,0.633297
-0.226256,0.633879,0.633879
-0.226223,0.63835,0.63835
-0.229001,0.638158,0.638158
-0.224756,0.635226,0.635226
-0.228664,0.629893,0.629893
-0.22722,0.635185,0.635185
-0.230588,0.636665,0.636665
-0.22341,0.636003,0.636003
-0.219001,0.638257,0.638257
-0.227176,0.636268,0.636268
-0.228647,0.634561,0.634561
-0.2265,0.636301,0.636301
-0.220306,0.640636,0.640636
-0.218928,0.635658,0.635658
-0.229897,0.639339,0.639339
-0.223656,0.637819,0.637819
-0.223801,0.635518,0.635518
-0.22106,0.637973,0.637973
-0.227417,0.637588,0.637588
-0.225798,0.635523,0.635523
-0.221774,0.642299,0.642299
-0.224601,0.636451,0.636451
-0.222439,0.634899,0.634899
-0.223514,0.633675,0.633675
-0.227028,0.640402,0.640402
-0.227907,0.629955,0.629955
-0.224692,0.635246,0.635246
-0.220458,0.638682,0.638682
-0.228488,0.639156,0.639156
-0.227578,0.625199,0.625199
-0.22842,0.639554,0.639554
-0.222833,0.636594,0.636594
-0.227039,0.633555,0.633555
-0.229336,0.631428,0.631428
-0.224236,0.636111,0.636111
-0.226626,0.643076,0.643076
-0.224772,0.632146,0.632146
-0.22807,0.627846,0.627846
-0.225405,0.634734,0.634734
-0.223686,0.633623,0.633623
-0.222914,0.637321,0.637321
-0.224564,0.639522,0.639522
-0.223728,0.634378,0.634378
-0.231495,0.636578,0.636578
-0.228455,0.6308,0.6308
-0.225215,0.636132,0.636132
-0.229479,0.634126,0.634126
-0.230014,0.633149,0.633149
-0.227186,0.634559,0.634559
-0.230266,0.635827,0.635827
-0.224716,0.636404,0.636404
-0.225969,0.638559,0.638559
-0.229133,0.640493,0.640493
-0.224014,0.635126,0.635126
-0.224889,0.637675,0.637675
-0.229587,0.632511,0.632511
-0.226635,0.634618,0.634618
-0.224183,0.633472,0.633472
-0.23138,0.63083,0.63083
-0.228146,0.634929,0.634929
-0.225108,0.639689,0.639689
-0.22787,0.635419,0.635419
-0.224573,0.643159,0.643159
-0.228467,0.641553,0.641553
-0.22537,0.633034,0.633034
-0.227818,0.635613,0.635613
-0.222101,0.64004,0.64004
-0.223247,0.640516,0.640516
-0.222836,0.635625,0.635625
-0.224935,0.63714,0.63714
-0.226283,0.634327,0.634327
-0.226896,0.637699,0.637699
-0.22324,0.630893,0.630893
-0.228152,0.63354,0.63354
-0.225855,0.639301,0.639301
-0.221253,0.636944,0.636944
-0.231139,0.635842,0.635842
-0.225732,0.640843,0.640843
-0.219727,0.637221,0.637221
-0.224402,0.633225,0.633225
-0.2291,0.633971,0.633971
-0.223594,0.635303,0.635303
-0.222187,0.635028,0.635028
-0.225453,0.639106,0.639106
-0.22807,0.632782,0.632782
-0.222183,0.637097,0.637097
-0.225579,0.635927,0.635927
-0.226122,0.637004,0.637004
-0.223054,0.636691,0.636691
-0.230376,0.633845,0.633845
-0.228701,0.634568,0.634568
-0.22379,0.634955,0.634955
-0.223715,0.635469,0.635469
-0.226594,0.629369,0.629369
-0.224073,0.632143,0.632143
-0.220987,0.638467,0.638467
-0.231453,0.633848,0.633848
-0.225558,0.634064,0.634064
-0.222063,0.638625,0.638625
-0.227254,0.633997,0.633997
-0.222404,0.636139,0.636139
-0.224546,0.632483,0.632483
-0.222943,0.633208,0.633208
-0.223173,0.640992,0.640992
-0.220211,0.637913,0.637913
-0.228031,0.63341,0.63341
-0.226803,0.636143,0.636143
-0.22552,0.631628,0.631628
-0.224012,0.633823,0.633823
-0.22732,0.633423,0.633423
-0.2223,0.633663,0.633663
-0.222101,0.634921,0.634921
-0.224523,0.639205,0.639205
-0.224047,0.635815,0.635815
-0.221279,0.637401,0.637401
-0.231628,0.635309,0.635309
-0.221119,0.63929,0.63929
-0.226245,0.640205,0.640205
-0.223713,0.633083,0.633083
-0.226142,0.635662,0.635662
-0.231245,0.634234,0.634234
-0.219682,0.63873,0.63873
-0.226376,0.638435,0.638435
-0.228831,0.633313,0.633313
-0.224633,0.633258,0.633258
-0.221591,0.638686,0.638686
-0.228067,0.633976,0.633976
-0.226707,0.633215,0.633215
-0.226812,0.634943,0.634943
-0.222361,0.634278,0.634278
-0.226221,0.639553,0.639553
-0.231466,0.633172,0.633172
-0.230112,0.637681,0.637681
-0.227322,0.63488,0.63488
-0.229724,0.634278,0.634278
-0.222833,0.637615,0.637615
-0.22608,0.630212,0.630212
-0.225176,0.633049,0.633049
-0.225774,0.634869,0.634869
-0.220917,0.635354,0.635354
-0.224959,0.636016,0.636016
-0.222518,0.639281,0.639281
-0.228364,0.638797,0.638797
-0.220817,0.637652,0.637652
-0.225465,0.64284,0.64284
-0.225226,0.636277,0.636277
-0.222901,0.636364,0.636364
-0.224638,0.636903,0.636903
-0.229273,0.633324,0.633324
-0.219538,0.634637,0.634637
-0.223109,0.633983,0.633983
-0.225289,0.633961,0.633961
-0.225771,0.636602,0.636602
-0.22896,0.639067,0.639067
-0.222352,0.633338,0.633338
-0.224428,0.639076,0.639076
-0.224847,0.638351,0.638351
-0.22039,0.634146,0.634146
-0.229913,0.631334,0.631334
-0.226034,0.638636,0.638636
-0.220691,0.640113,0.640113
-0.222578,0.639923,0.639923
-0.226383,0.635821,0.635821
-0.22514,0.632874,0.632874
-0.228234,0.641089,0.641089
-0.226942,0.636001,0.636001
-0.225252,0.633307,0.633307
-0.222366,0.636188,0.636188
-0.224053,0.637157,0.637157
-0.223852,0.635673,0.635673
-0.222772,0.639677,0.639677
-0.228389,0.635559,0.635559
-0.227637,0.641556,0.641556
-0.2265,0.630143,0.630143
