tr,trp1,trp2,trp3,sigma,pi1,pi2,pi3,phi
-0.578098,0.00591303,-0.00829423,0.0138303,2.27,-0.022546,0.0339363,-0.0591329,2.27113
-0.577801,0.0049571,-0.00755197,0.0146588,2.26848,-0.020997,0.0347224,-0.0689617,2.26989
-0.572162,0.00415206,-0.00756719,0.0143888,2.27041,-0.0155227,0.03617,-0.0629236,2.27162
-0.577041,0.0031906,-0.00673021,0.015782,2.27256,-0.0185069,0.0399972,-0.0673275,2.27399
-0.571707,0.00423175,-0.0102362,0.0150708,2.28033,-0.0212247,0.0472212,-0.0698835,2.28199
-0.582189,0.00483107,-0.0121812,0.018126,2.28435,-0.0207466,0.0507035,-0.0780424,2.28634
-0.580358,0.00651883,-0.00984411,0.0157125,2.28383,-0.0309334,0.049715,-0.0661886,2.28553
-0.578225,0.00432811,-0.011056,0.0135278,2.28876,-0.0156943,0.046834,-0.0572838,2.29001
-0.567624,0.00673414,-0.00937605,0.0153586,2.28672,-0.0306156,0.0443755,-0.0640503,2.28825
-0.580913,0.00565484,-0.0132289,0.0122291,2.28514,-0.0231503,0.0608585,-0.0543791,2.28671
-0.575913,0.00619786,-0.0163663,0.0126656,2.2786,-0.0227702,0.0729331,-0.0496668,2.28042
-0.580133,0.00632096,-0.0155833,0.00832623,2.28034,-0.0282973,0.0754526,-0.042367,2.28216
-0.579278,0.00610866,-0.0177068,0.0108763,2.28641,-0.0249279,0.0812326,-0.0455898,2.28844
-0.577326,0.00653873,-0.0199922,0.00905256,2.28812,-0.0281498,0.0864031,-0.0381338,2.29024
-0.57783,0.000790504,-0.0178189,0.00824569,2.29186,-0.00770804,0.0765809,-0.0376223,2.29346
-0.581238,0.000157527,-0.0167536,0.00493014,2.29052,-0.00192112,0.0754435,-0.0270007,2.29193
-0.5756,-0.000594811,-0.0174515,0.00602321,2.29404,-0.00141913,0.0772193,-0.022405,2.29545
-0.579149,-0.00317524,-0.0175031,0.0067326,2.29218,0.0136897,0.0813418,-0.029776,2.29386
-0.59005,-0.00552428,-0.0194522,0.00611379,2.29706,0.0185195,0.0903186,-0.0257594,2.29906
-0.570003,-0.00366189,-0.0187382,0.00483129,2.29125,0.0141563,0.0849289,-0.0253318,2.29301
-0.575162,-0.00138345,-0.0207647,0.00696964,2.29211,0.00773689,0.0952741,-0.0319365,2.29433
-0.581929,-0.00232776,-0.0226196,0.00685914,2.29168,0.0125303,0.0994996,-0.0303486,2.29407
-0.578584,-0.000272151,-0.0220478,0.00664908,2.2945,0.00321364,0.0981397,-0.0268834,2.29676
-0.58126,0.00252398,-0.0183834,0.00488632,2.30161,-0.00999631,0.085352,-0.0216283,2.30332
-0.571562,0.00294799,-0.0188366,0.00534035,2.2983,-0.0123947,0.078323,-0.0251872,2.29981
-0.580954,-1.65327e-05,-0.0184825,0.0059498,2.30619,-0.00252034,0.0886991,-0.0273068,2.30806
-0.573374,-0.000403003,-0.0165723,0.00777508,2.30495,-0.00336633,0.0820426,-0.0397519,2.30676
-0.583897,-0.000200173,-0.0199495,0.0129269,2.30627,-0.00262418,0.0829779,-0.0575577,2.30848
-0.574245,-0.00133697,-0.015495,0.0114421,2.30777,0.0084683,0.0672339,-0.0507673,2.30933
-0.577371,-0.00141469,-0.0144727,0.00944719,2.30153,0.00734001,0.0679156,-0.0474998,2.30303
-0.584825,-0.000232438,-0.012268,0.0123994,2.3041,-0.000515204,0.0586944,-0.053908,2.30548
-0.575523,-0.00204055,-0.012629,0.0135132,2.30441,0.0100397,0.0551129,-0.0594968,2.30586
-0.576239,-0.00174503,-0.00856092,0.0110573,2.30182,0.00840104,0.043285,-0.0464709,2.30272
-0.57243,0.000572937,-0.0113188,0.00976702,2.30793,0.000998948,0.0491237,-0.0407565,2.30881
-0.580458,0.00140362,-0.010135,0.011618,2.3107,-0.0045016,0.049875,-0.047858,2.31173
-0.583061,0.00145875,-0.013022,0.0127487,2.3096,-0.0098818,0.0603525,-0.0561032,2.31109
-0.583823,0.00311982,-0.0126955,0.0134049,2.29901,-0.0119496,0.0583723,-0.0577333,2.30051
-0.577804,0.00332697,-0.0128122,0.0111788,2.30588,-0.0184864,0.055663,-0.0488586,2.30714
-0.57815,0.0016655,-0.0134222,0.0114934,2.29826,-0.00409131,0.0592502,-0.0524326,2.29963
-0.578777,0.000835283,-0.0119548,0.0111841,2.30464,-0.00216038,0.0511344,-0.0519404,2.3058
-0.578351,0.00327288,-0.0133054,0.0101161,2.29395,-0.0111622,0.0576751,-0.0439156,2.29512
-0.571233,0.000286449,-0.0114119,0.00608102,2.29868,-0.013242,0.0510806,-0.03124,2.29949
-0.585621,0.0050808,-0.0124846,0.00701362,2.29771,-0.0228628,0.0575208,-0.0334472,2.29878
-0.575802,0.00430735,-0.0131791,0.00763905,2.29622,-0.0192725,0.0590388,-0.032284,2.29729
-0.576838,0.00196407,-0.0174653,0.00793535,2.29414,-0.00676164,0.0744412,-0.0349117,2.29562
-0.582648,0.00385904,-0.0147954,0.00553513,2.28691,-0.0162715,0.0656153,-0.0239452,2.28803
-0.584015,0.0045961,-0.0123558,0.00406452,2.29841,-0.0200772,0.0567309,-0.0152887,2.29925
-0.573924,0.00487888,-0.0144979,0.00365048,2.29136,-0.0225829,0.0665846,-0.0159429,2.29249
-0.574683,0.00674574,-0.0114599,0.00265769,2.2949,-0.032801,0.0553633,-0.0121343,2.29583
-0.573819,0.00645393,-0.00931269,0.00770906,2.29441,-0.0307645,0.0416119,-0.0276608,2.29516
-0.57117,0.00597473,-0.00614706,0.00608646,2.28813,-0.0275459,0.0278961,-0.0198423,2.28855
-0.584064,0.00413114,-0.0076562,0.00527072,2.29628,-0.0190469,0.0348633,-0.0245579,2.29675
-0.575769,0.00554094,-0.00621641,0.00219054,2.29887,-0.0261708,0.0339813,-0.014344,2.29932
-0.58274,0.00733151,-0.00755841,0.0019486,2.29609,-0.037802,0.0350206,-0.00994174,2.29669
-0.572199,0.00968785,-0.00822558,0.00129455,2.30404,-0.0429589,0.0334666,-0.00786204,2.30469
-0.579014,0.0118547,-0.00671092,0.00381438,2.29459,-0.0501513,0.0277342,-0.0195623,2.29539
-0.573361,0.013328,-0.00732796,0.00310905,2.29703,-0.0636698,0.0363028,-0.0123915,2.29823
-0.571573,0.0161583,-0.00746668,0.00177562,2.29854,-0.0709922,0.0330778,-0.0098878,2.2999
-0.575527,0.0156252,-0.00614252,0.0011151,2.30016,-0.0745232,0.0301133,-0.00562909,2.30157
-0.581002,0.0178753,-0.00395938,0.00120179,2.2914,-0.0801722,0.0211402,-0.00777646,2.29291
-0.585925,0.0196337,-0.00839395,0.00475556,2.29284,-0.0889206,0.0348239,-0.0162978,2.29489
-0.56982,0.0221373,-0.0110577,0.00410255,2.29674,-0.10338,0.0443854,-0.0263575,2.29964
-0.5755,0.020725,-0.0100851,0.00581196,2.29668,-0.0941696,0.0452629,-0.0250571,2.29919
-0.572549,0.0175095,-0.00998085,0.00594824,2.30068,-0.0807036,0.0422786,-0.0279037,2.30265
-0.581581,0.0165747,-0.00918571,0.00493989,2.29129,-0.0754417,0.0459762,-0.0229227,2.29311
-0.578968,0.0143428,-0.0129944,0.0039321,2.30324,-0.067066,0.0523889,-0.0171788,2.30488
-0.575756,0.0157825,-0.00741221,0.00380642,2.30372,-0.0704581,0.0321922,-0.0161288,2.30508
-0.585644,0.0127092,-0.00976394,0.00494056,2.29778,-0.0603409,0.0364226,-0.016498,2.29892
-0.569488,0.0126914,-0.00691057,0.00492724,2.29381,-0.0573707,0.0325892,-0.0205353,2.29485
-0.574681,0.0148438,-0.00959302,0.00717467,2.29124,-0.063752,0.0446109,-0.0256399,2.29271
-0.573831,0.0132631,-0.0110289,0.00542511,2.29414,-0.0660056,0.049903,-0.0231791,2.29575
-0.569972,0.0138165,-0.015802,0.00643745,2.29473,-0.0637925,0.0699687,-0.0270449,2.29685
-0.577709,0.016088,-0.0124047,0.00659957,2.29425,-0.0695584,0.0585191,-0.0280395,2.29622
-0.583037,0.0149395,-0.0164058,0.00677133,2.2961,-0.0695685,0.0717785,-0.0351306,2.29854
-0.58182,0.0154288,-0.0165131,0.00824904,2.29733,-0.067999,0.0728008,-0.0356791,2.29976
-0.576293,0.0151487,-0.0156371,0.00907216,2.29022,-0.0685087,0.0686678,-0.0347746,2.29253
-0.577459,0.01381,-0.0142148,0.00948939,2.293,-0.0642208,0.0626061,-0.0435145,2.29516
-0.576592,0.0131887,-0.0119643,0.0114497,2.29852,-0.0597711,0.0536039,-0.0497818,2.30046
-0.582365,0.0108365,-0.0119605,0.0103406,2.29161,-0.0508979,0.048739,-0.0468948,2.29317
-0.572416,0.0101283,-0.0107231,0.00957624,2.29955,-0.0483583,0.0494845,-0.0491336,2.30111
-0.57778,0.00942945,-0.0106403,0.0065358,2.29493,-0.0449588,0.0462555,-0.0380917,2.29615
-0.586141,0.011302,-0.0135269,0.00549124,2.28655,-0.0526061,0.0612233,-0.0194866,2.28806
-0.575864,0.0117495,-0.0142471,0.00518117,2.2916,-0.0510559,0.0620774,-0.0179945,2.29308
-0.583647,0.00896434,-0.0103204,0.00498276,2.29736,-0.0448186,0.0527038,-0.0198231,2.29848
-0.573733,0.0109999,-0.0114704,0.00598751,2.29567,-0.0485478,0.050232,-0.0251442,2.29687
-0.581732,0.0112455,-0.0145046,0.00439459,2.29899,-0.0518614,0.0591248,-0.0200843,2.30043
-0.57093,0.00959675,-0.0122332,0.00310249,2.31054,-0.0423915,0.0505065,-0.0139617,2.31152
-0.57551,0.00832678,-0.0108437,0.00106231,2.30455,-0.037557,0.0529163,-0.00537421,2.30547
-0.584313,0.00804151,-0.0122495,0.000778196,2.29711,-0.0357595,0.0518649,-0.00320705,2.29798
-0.591243,0.011346,-0.0120841,0.00191607,2.29735,-0.041803,0.0531047,-0.00586778,2.29836
-0.574241,0.0116368,-0.0116221,0.00104593,2.3027,-0.0527726,0.0528233,-0.00636899,2.30392
-0.570973,0.0132204,-0.0123137,0.00239455,2.2951,-0.0584607,0.0549253,-0.0126969,2.29654
-0.57868,0.0108356,-0.0121206,0.00452063,2.30043,-0.0475542,0.0564953,-0.0220493,2.30172
-0.581987,0.0100596,-0.0124143,0.00817663,2.29681,-0.0433072,0.06021,-0.0347476,2.29827
-0.576346,0.0113281,-0.0195434,0.00286014,2.29904,-0.0450936,0.0899589,-0.0107986,2.30127
-0.577884,0.0127059,-0.0178779,0.00152827,2.29621,-0.0523256,0.0806883,-0.0105248,2.29825
-0.57836,0.0156537,-0.0177562,0.00290905,2.29822,-0.0696527,0.0830128,-0.0141906,2.30082
-0.574102,0.0154842,-0.0174744,0.00379395,2.3022,-0.0707768,0.077748,-0.014184,2.30464
-0.572605,0.0118694,-0.0154491,0.00106423,2.30381,-0.0524351,0.068515,-0.0068897,2.30544
-0.576475,0.00869211,-0.0125123,-6.84784e-05,2.31617,-0.0386655,0.0582143,-0.00434426,2.31723
-0.577407,0.0107447,-0.0156576,0.000806504,2.29995,-0.0442488,0.0694541,-0.000501936,2.30142
-0.573099,0.00991216,-0.0131788,0.00156671,2.29679,-0.0397256,0.0592288,-0.0101948,2.29792
-0.585177,0.00693107,-0.0141945,0.000832332,2.29566,-0.0405901,0.0611932,-0.00751035,2.29684
-0.577125,0.0117494,-0.01076,-0.000924269,2.29673,-0.0486671,0.0489547,0.00153748,2.29777
-0.573643,0.0100288,-0.00953185,-0.000413656,2.29913,-0.0434946,0.0487214,0.00167239,2.30006
-0.575207,0.0114857,-0.0116408,0.00436391,2.29134,-0.0540181,0.0566349,-0.0140139,2.29272
-0.583936,0.00988528,-0.013971,-0.00100776,2.30345,-0.0468853,0.0579941,0.00263635,2.30466
-0.573854,0.00892519,-0.00877971,-0.000941824,2.30546,-0.0377821,0.0440631,-0.000875212,2.30619
-0.576126,0.00941624,-0.0140183,0.000704436,2.30909,-0.0416545,0.0585572,-0.00348079,2.31021
-0.57924,0.00788387,-0.0115391,-0.0015357,2.29685,-0.0373633,0.0505895,0.00481769,2.29771
-0.568242,0.00833056,-0.0110025,-0.00296572,2.29526,-0.0336248,0.0507391,0.011401,2.29609
-0.576817,0.00656095,-0.0110781,-0.00583453,2.30139,-0.0302182,0.0495936,0.022391,2.30224
-0.574686,0.00344001,-0.0118332,-0.00877737,2.30827,-0.0139104,0.0564371,0.0348016,2.30926
-0.584538,0.000783747,-0.0134005,-0.00793252,2.30217,-0.00294559,0.060876,0.0389278,2.30331
-0.578126,9.59178e-05,-0.0136703,-0.0121297,2.30058,-0.00403005,0.0605234,0.0523456,2.30197
-0.58056,0.00244127,-0.0123045,-0.0128762,2.2956,-0.0102475,0.0598295,0.05318,2.29702
-0.575039,0.00278414,-0.0161551,-0.0111574,2.29547,-0.010723,0.0712123,0.0496921,2.29714
-0.581441,-0.000502565,-0.0162407,-0.0111489,2.2833,0.00470894,0.066152,0.0479576,2.28476
-0.580891,-0.00182283,-0.0144974,-0.0138063,2.28982,0.0115713,0.0681938,0.0637162,2.29175
-0.58584,-0.00165724,-0.0154949,-0.0158761,2.28918,0.0077454,0.0668025,0.0686607,2.2912
-0.575284,-0.00196359,-0.0155015,-0.0152366,2.29214,0.0102235,0.0640772,0.0715945,2.29418
-0.568869,-0.00679966,-0.0150511,-0.0123987,2.27924,0.0247984,0.0653794,0.0576206,2.28104
-0.576112,-0.00345024,-0.0141889,-0.0131794,2.29068,0.0190911,0.0622267,0.0601952,2.29239
-0.584057,-0.00234006,-0.0140197,-0.0133619,2.29135,0.00885165,0.064096,0.0589736,2.29302
-0.57219,-0.00423858,-0.0132606,-0.0110518,2.28737,0.0113149,0.0570022,0.050503,2.28866
-0.576257,0.000218426,-0.0138265,-0.0113298,2.28112,0.00103002,0.0622494,0.0473591,2.28246
-0.584084,0.00394566,-0.0134474,-0.00883967,2.2875,-0.0164679,0.0616827,0.0409206,2.28876
-0.578327,0.00248518,-0.0116872,-0.00893184,2.29909,-0.0103407,0.0532439,0.0442519,2.30016
-0.57698,0.00598176,-0.0125041,-0.00678469,2.28785,-0.022491,0.0581203,0.0325362,2.28893
-0.583936,0.0079244,-0.0155306,-0.00546816,2.28682,-0.0342577,0.0742763,0.0248422,2.28841
-0.568519,0.00632006,-0.017536,-0.00832708,2.28339,-0.0304108,0.0761239,0.0344685,2.28512
-0.58368,0.00788677,-0.0166645,-0.00475468,2.29003,-0.0313279,0.0738322,0.0226427,2.29155
-0.585351,0.00662921,-0.0147422,-0.00411586,2.2909,-0.0328039,0.0655672,0.0137497,2.29212
-0.574222,0.00911,-0.0171446,-0.00446024,2.29,-0.046348,0.0746614,0.0188163,2.29176
-0.569714,0.0105908,-0.0146205,-0.00196807,2.28856,-0.0435954,0.0634097,0.00753479,2.28987
-0.578267,0.00866977,-0.0140231,-0.00495321,2.2909,-0.0405394,0.0625533,0.0248589,2.29225
-0.577706,0.00738856,-0.010715,-0.00479875,2.29135,-0.0366641,0.0527224,0.0223611,2.29235
-0.576111,0.00662047,-0.0113528,-0.00207874,2.29512,-0.0313329,0.0525174,0.0106336,2.29596
-0.575989,0.00877567,-0.013056,-0.00543967,2.29173,-0.0385332,0.0601071,0.0249973,2.29298
-0.574971,0.00832231,-0.0118872,-0.00848491,2.29778,-0.040006,0.0553568,0.0369867,2.29909
-0.579711,0.00801839,-0.0121205,-0.00754574,2.29883,-0.0318854,0.055535,0.0324609,2.29995
-0.573045,0.00284369,-0.00966964,-0.006112,2.30173,-0.0179264,0.048817,0.0244083,2.30245
-0.56692,0.00584186,-0.0108325,-0.00597794,2.29539,-0.0214685,0.048397,0.0292599,2.29619
-0.569211,0.00519721,-0.0121887,-0.00733198,2.29103,-0.0208256,0.0535561,0.0304367,2.29195
-0.580701,0.00299027,-0.0125157,-0.00168212,2.29343,-0.0112864,0.0600267,0.0082038,2.29426
-0.576249,0.00666246,-0.0145615,-0.00247198,2.29269,-0.0237432,0.0677033,0.00956432,2.29383
-0.575657,0.0060107,-0.0156517,-0.00190717,2.29609,-0.0277395,0.0738048,0.00324636,2.29745
-0.582809,0.00449333,-0.017155,-0.00174194,2.29356,-0.018849,0.0751111,0.00818204,2.29488
-0.572387,0.00558365,-0.0130546,-0.00404594,2.28986,-0.0234716,0.0668831,0.0215516,2.29106
-0.580432,0.00604012,-0.0150692,-0.00509216,2.28818,-0.0293991,0.0681889,0.0140038,2.28943
-0.575867,0.00795785,-0.0132467,-0.00370044,2.29436,-0.0345651,0.0570494,0.0189992,2.29541
-0.574196,0.00612314,-0.012533,-0.00489209,2.30058,-0.0264067,0.0580531,0.01648,2.30153
-0.588008,0.00754283,-0.00996916,-0.00588292,2.29869,-0.0398834,0.0498245,0.0239671,2.2997
-0.586048,0.00600613,-0.0102158,-0.00677048,2.2994,-0.0265425,0.0485414,0.028476,2.30024
-0.57532,0.00424338,-0.0103268,-0.00692525,2.29727,-0.0206932,0.0447415,0.0262328,2.29795
-0.579371,0.0051997,-0.00935143,-0.00651703,2.29495,-0.019965,0.0449356,0.0282215,2.29565
-0.578809,0.00270144,-0.0104518,-0.00436061,2.29504,-0.0165302,0.0472534,0.0204403,2.29568
-0.577096,0.005883,-0.00932395,-0.00488556,2.29786,-0.0232937,0.0399465,0.0199112,2.29841
-0.571026,0.00654086,-0.0114866,-0.00462007,2.29921,-0.0305418,0.0460051,0.0181974,2.29995
-0.579685,0.00439476,-0.0124132,-0.00573965,2.28998,-0.0211882,0.0471483,0.0269746,2.29072
-0.570609,0.00516648,-0.0130037,-0.00561694,2.28753,-0.0187458,0.0587265,0.0217891,2.28846
-0.571721,0.00306465,-0.0123644,-0.00687558,2.28815,-0.013548,0.0559132,0.0340771,2.28912
-0.577649,0.00337312,-0.0139036,-0.00574322,2.28392,-0.0157219,0.061338,0.0206231,2.2849
