tr,trp1,trp2,trp3,sigma,pi1,pi2,pi3,phi
-0.724831,0.00487164,-0.00154394,-0.00191914,0.14391,-0.110871,0.0632559,0.0760799,0.206862
-0.579491,0.00440363,-0.000834986,-0.00653149,0.244872,-0.126075,0.0220348,0.207597,0.3456
-0.686563,0.0010672,-0.00357891,-0.00233879,0.298727,-0.0787319,0.0932754,0.038614,0.325004
-0.705107,7.42199e-05,-0.00324699,0.000261556,0.272406,0.00331212,0.117228,-0.0357009,0.298719
-0.60349,0.00337885,-0.00113609,0.00161055,0.291345,-0.0914851,0.0960692,-0.0429025,0.322989
-0.612023,0.00600319,-0.00178241,0.00164064,0.225104,-0.211474,0.101742,-0.0758897,0.333922
-0.778575,0.00758786,-0.00732633,-0.00513285,0.200792,-0.233425,0.215405,0.150219,0.404684
-0.672378,0.00624007,-0.0058402,0.00173911,0.131386,-0.181423,0.2102,-0.0553533,0.31213
-0.696317,0.00783833,-0.00425824,0.00288517,0.30157,-0.285939,0.173121,-0.0872251,0.458568
-0.663733,0.00567089,-0.00646791,-0.00165629,0.235209,-0.185514,0.195048,0.00907528,0.357582
-0.693597,0.00446925,-0.00305745,-0.00166628,0.228106,-0.160377,0.103264,0.060396,0.303421
-0.686646,0.0013802,-0.00425636,-0.00359738,0.259355,-0.0488264,0.118542,0.105689,0.308012
-0.466114,-0.000676885,-0.000412959,0.000637908,0.326468,0.0343303,0.0466476,-0.0387581,0.333824
-0.747084,0.000827741,0.0029703,0.000803024,0.303984,-0.0417103,-0.111493,-0.0256061,0.327463
-0.642576,0.00183338,0.00208922,0.0015635,0.242973,-0.043769,-0.0978633,-0.0253463,0.266779
-0.660212,-0.00262032,0.000457568,0.00217869,0.1396,0.0707572,-0.024893,-0.117481,0.197271
-0.612792,-0.000654469,0.0029462,0.00426216,0.115945,0.0212203,-0.0566771,-0.13145,0.185432
-0.583327,-0.0013014,-0.00161124,0.00227104,0.038598,0.0836134,0.108773,-0.122797,0.188127
-0.670235,-0.00108195,0.00043118,0.00417222,0.13447,-0.00612783,0.0498011,-0.161744,0.216243
-0.684371,-0.000181393,-0.00132479,0.00461943,0.135788,0.0499606,0.0472673,-0.144909,0.21016
