tr,sigma,phi
-0.618925,0.0203647,0
-0.659042,0.0214485,0
-0.664513,0.0223211,0
-0.655661,0.0237916,0
-0.659533,0.0227596,0
-0.65876,0.0233413,0
-0.632366,0.0198468,0
-0.64457,0.0236641,0
-0.673972,0.0219072,0
-0.660198,0.0295289,0
-0.678928,0.0195697,0
-0.673775,0.0191172,0
-0.657594,0.0226608,0
-0.657973,0.0213274,0
-0.652479,0.0258591,0
-0.661096,0.025558,0
-0.638147,0.0180304,0
-0.648138,0.0190396,0
-0.662112,0.021048,0
-0.626548,0.0198222,0
-0.646201,0.0191733,0
-0.632245,0.0252617,0
-0.638701,0.0204224,0
-0.680705,0.0241667,0
-0.653573,0.0210736,0
-0.634912,0.0197355,0
-0.636117,0.022838,0
-0.674528,0.0210257,0
-0.625848,0.017489,0
-0.653595,0.0236689,0
-0.643083,0.0163556,0
-0.6639,0.0215723,0
-0.659016,0.0271433,0
-0.668194,0.0234424,0
-0.630328,0.023998,0
-0.663086,0.019947,0
-0.663862,0.021439,0
-0.677707,0.0240977,0
-0.646692,0.024595,0
-0.656216,0.022031,0
-0.656706,0.0172228,0
-0.652736,0.0218168,0
-0.632527,0.0205541,0
-0.63665,0.0202239,0
-0.657739,0.0209169,0
-0.657584,0.0226326,0
-0.653339,0.0171744,0
-0.650353,0.0181624,0
-0.640666,0.026261,0
-0.637631,0.0235459,0
-0.617551,0.0262436,0
-0.633787,0.0205092,0
-0.6437,0.0179333,0
-0.686959,0.0236453,0
-0.669256,0.0213248,0
-0.641463,0.0216189,0
-0.64464,0.0254833,0
-0.642704,0.0180054,0
-0.662724,0.0209533,0
-0.648418,0.0289089,0
-0.657025,0.0216631,0
-0.649335,0.0245857,0
-0.671443,0.0198902,0
-0.688015,0.0238131,0
-0.670442,0.0250082,0
-0.668165,0.0224912,0
-0.65377,0.0203201,0
-0.646501,0.0213895,0
-0.654938,0.0244679,0
-0.690797,0.0260417,0
-0.659671,0.0165348,0
-0.634513,0.0223325,0
-0.639094,0.0232885,0
-0.645627,0.0236626,0
-0.651934,0.0226674,0
-0.67957,0.0203208,0
-0.641657,0.0238054,0
-0.638814,0.0198173,0
-0.648503,0.0235231,0
-0.653875,0.023088,0
-0.664003,0.0230607,0
-0.64496,0.0215207,0
-0.648837,0.0225235,0
-0.682485,0.023398,0
-0.6422,0.0245848,0
-0.672306,0.0250412,0
-0.632527,0.0179714,0
-0.677416,0.0213311,0
-0.673737,0.0246893,0
-0.659425,0.0253668,0
