tr,trp1,trp2,trp3,sigma,pi1,pi2,pi3
1.0257,0.00154563,9.77522e-18,-0.000597334,-1.07834,-4.75436e-05,4.46506e-18,7.27862e-05
1.06147,2.52904e-05,4.58608e-19,0.000458688,-1.07479,-4.15913e-05,2.00565e-19,4.29606e-06
1.09186,0.00105514,1.75183e-20,-0.000286203,-1.0767,-2.3292e-05,8.08958e-21,-8.00342e-05
1.06159,-0.00071206,6.51051e-22,0.00040764,-1.07426,3.50929e-05,3.21071e-22,7.516e-05
1.08821,0.000853236,2.80397e-23,0.00132371,-1.07488,-3.14533e-05,1.24701e-23,-4.29191e-05
1.0946,0.000631108,1.08821e-24,0.00141707,-1.08041,-6.33439e-05,5.35213e-25,-4.24034e-05
1.02899,0.00058226,5.35785e-26,0.00141675,-1.07665,-1.89327e-05,2.2041e-26,-3.82384e-05
1.07145,-0.000220907,1.82487e-27,-0.00222329,-1.07546,3.8787e-05,9.26063e-28,7.0846e-05
1.10758,-0.00105228,8.91562e-29,-0.000770898,-1.07649,3.6621e-05,3.76589e-29,4.40361e-06
1.08416,-0.00106686,3.00497e-30,-0.00154669,-1.07553,-3.96173e-05,1.61267e-30,-2.35509e-05
1.11214,0.000734791,1.57875e-31,-0.00114856,-1.07594,5.79743e-05,6.31685e-32,7.24884e-05
1.06833,-0.000442657,5.8288e-33,0.000749144,-1.07503,3.94739e-05,2.60172e-33,3.9239e-05
1.04914,0.000324373,1.89706e-34,-3.40707e-05,-1.07494,7.52281e-05,1.04927e-34,4.45801e-05
1.0585,-0.00171492,1.07987e-35,0.000642147,-1.07468,2.8088e-05,4.40947e-36,-6.4197e-07
1.10053,0.000441509,4.16086e-37,-0.00201731,-1.07838,2.44432e-06,1.87413e-37,-8.87425e-07
1.01989,0.000172134,1.69822e-38,-0.00124773,-1.07813,2.31239e-05,7.77005e-39,-5.88643e-06
1.08017,0.000177048,6.12295e-40,-0.00266015,-1.07715,2.06846e-05,3.26288e-40,5.20124e-05
1.06456,0.00182023,2.73797e-41,-0.000410845,-1.07691,-3.93846e-05,1.37912e-41,2.75251e-05
1.10146,0.000383961,1.10544e-42,-7.80524e-06,-1.07817,2.30751e-05,5.91203e-43,-0.000118078
1.08633,0.000113881,5.15917e-44,-0.00143446,-1.07922,4.72444e-05,2.42081e-44,1.10924e-05
1.05551,0.000276173,2.31112e-45,-0.00188331,-1.0771,3.87296e-05,1.00628e-45,5.26943e-05
1.06837,-0.00186477,9.72609e-47,-0.000818175,-1.07626,0.000144667,4.15095e-47,7.81508e-05
1.05602,-0.000164888,3.7154e-48,0.00188948,-1.07486,-0.000148522,1.57073e-48,-8.48265e-06
1.10171,-0.0018697,1.61531e-49,-0.00172502,-1.0748,1.49134e-05,6.3224e-50,6.19706e-05
1.05958,0.000276777,5.65859e-51,-0.000663087,-1.07676,5.91236e-05,2.53077e-51,3.81787e-06
1.0554,0.00238269,2.27396e-52,0.00181282,-1.07523,3.35982e-05,1.03125e-52,-0.000107349
1.07418,0.000685616,9.85715e-54,-0.000296839,-1.07689,-4.82207e-05,4.2766e-54,4.42505e-05
1.06506,-0.00159316,3.803e-55,0.00315975,-1.07659,-2.30601e-05,1.83107e-55,-0.000120639
1.0552,0.000579581,1.67655e-56,0.00446356,-1.07734,6.68555e-05,7.62435e-57,-0.000111018
1.0909,0.00019019,7.55445e-58,0.00130556,-1.07739,-0.000100764,3.18689e-58,-3.77414e-05
1.08284,-0.00142631,2.69515e-59,-0.000538559,-1.07869,7.95168e-05,1.30246e-59,-7.33715e-05
1.08464,-0.000153171,1.22599e-60,-0.000483339,-1.07753,-1.08437e-05,5.31034e-61,-6.60788e-06
1.06311,-0.00123986,5.13363e-62,0.000644956,-1.07635,5.96133e-05,2.11603e-62,-2.04664e-06
1.07961,-0.00103792,2.03172e-63,0.000442493,-1.07946,8.42412e-05,8.70845e-64,2.45432e-05
1.07544,-0.0010885,6.83552e-65,-0.000260654,-1.07789,8.74744e-06,3.58417e-65,-4.0535e-05
1.09111,-0.000930713,3.36389e-66,-0.000398667,-1.07463,3.45064e-05,1.50342e-66,-2.86793e-05
1.07524,0.000432777,1.31361e-67,-0.000127157,-1.07434,-1.78617e-05,6.20144e-68,-2.05831e-05
1.08339,0.00116057,6.31902e-69,0.000491742,-1.07552,2.56045e-05,2.54707e-69,4.42619e-05
1.05506,0.000164162,2.19659e-70,-0.000902931,-1.07504,0.000103181,1.02831e-70,-6.5522e-05
1.08721,-0.0010479,9.53818e-72,-0.000892352,-1.0745,7.25727e-06,4.26247e-72,-5.15889e-05
1.07652,0.000757309,3.76407e-73,0.00113289,-1.07673,4.21189e-05,1.73253e-73,-4.46774e-05
1.05148,0.000482205,1.84557e-74,-0.000949444,-1.07766,-0.000123913,7.38422e-75,-1.56034e-05
1.1095,-0.000300834,6.89872e-76,0.000532026,-1.07889,-8.59285e-05,3.04362e-76,4.90799e-05
1.06424,-0.00048152,2.62133e-77,0.000594762,-1.07667,6.85999e-05,1.30563e-77,-1.46578e-05
1.10018,-0.0016724,1.0994e-78,0.00139986,-1.07632,7.28822e-05,5.40218e-79,2.32059e-05
1.10011,0.00128273,5.34224e-80,0.000218155,-1.07734,-2.66569e-06,2.35069e-80,4.99832e-05
1.05476,-0.000620364,2.1282e-81,0.000156404,-1.07515,-6.88734e-05,9.75872e-82,9.35041e-05
1.05771,0.000272339,7.63161e-83,0.00160044,-1.07576,-2.67609e-05,4.07326e-83,5.8386e-05
1.06952,0.000511548,3.78022e-84,-0.000634083,-1.07366,-5.10949e-06,1.72421e-84,5.37688e-05
1.04317,0.000362403,1.5152e-85,0.00020881,-1.07652,-6.09467e-05,7.03174e-86,1.09517e-05
1.11031,0.000198911,6.0819e-87,0.00213154,-1.0756,3.24024e-05,2.8473e-87,-7.19989e-05
1.07402,0.000795154,2.41218e-88,0.00324313,-1.07495,-0.000114721,1.1689e-88,-6.8674e-05
1.04221,0.000577382,1.08827e-89,0.000254039,-1.07401,-3.63587e-06,4.76633e-90,-1.24661e-05
1.07147,0.00134296,4.21375e-91,-0.00139284,-1.07665,-8.05762e-05,1.94407e-91,-0.000102767
1.1021,-0.000788057,1.82511e-92,-0.000703601,-1.07632,-3.26846e-05,8.31581e-93,6.16891e-05
1.08533,-0.00108601,7.14899e-94,0.000101494,-1.07561,6.16503e-05,3.49353e-94,-1.20294e-05
1.06943,7.38467e-05,3.24075e-95,-0.00076529,-1.07567,-0.000140872,1.4936e-95,-9.69492e-05
1.09223,-4.88204e-07,1.38188e-96,0.000478748,-1.07577,-2.11136e-05,6.32046e-97,-2.93464e-05
1.04611,-0.000342351,5.75449e-98,-0.000754905,-1.07461,-1.49732e-05,2.67583e-98,7.4072e-05
1.0595,-0.000381967,2.31485e-99,0.000317259,-1.07573,-3.36572e-05,1.09725e-99,-2.37694e-05
1.09273,0.00164411,9.54403e-101,8.04864e-05,-1.07544,1.1633e-05,4.72693e-101,7.83884e-05
1.07255,0.00149304,4.21164e-102,0.00236552,-1.07586,2.1454e-05,1.98537e-102,-8.87087e-05
1.10475,-0.00172055,1.8123e-103,0.00229976,-1.07692,-2.58356e-05,8.00427e-104,-8.8184e-05
1.06499,-0.00189993,7.36524e-105,-0.000896764,-1.0762,-6.67364e-05,3.21431e-105,3.42112e-05
1.0572,-0.00122075,2.87416e-106,-0.000869385,-1.07476,0.000107551,1.28156e-106,6.0271e-05
1.03134,0.000667911,1.25642e-107,-0.000942339,-1.07488,-2.47101e-05,5.26419e-108,-8.80701e-06
1.06325,-0.00100135,4.62728e-109,-0.000956628,-1.07639,-4.02204e-05,2.17577e-109,1.436e-05
1.08932,-0.000134684,2.02843e-110,-0.00132493,-1.07676,-6.87618e-05,8.9159e-111,1.48421e-05
1.10354,-0.000267216,8.45538e-112,0.000293094,-1.07838,-7.79578e-05,3.70883e-112,0.000106293
1.10208,0.000468412,3.29049e-113,0.00148201,-1.07906,6.91867e-05,1.50232e-113,1.65557e-05
1.07796,0.00125786,1.38816e-114,-0.00021084,-1.07678,1.33268e-05,6.23969e-115,-9.06061e-05
1.05864,0.00105079,5.54459e-116,-0.000770128,-1.07384,-3.72594e-05,2.61758e-116,-3.34853e-05
1.08431,0.000575546,2.41601e-117,-0.00121049,-1.07581,4.80665e-05,1.09637e-117,-7.39204e-05
1.06369,0.00184888,9.55757e-119,0.000326989,-1.07294,-2.18922e-06,4.43653e-119,-0.000139308
1.08284,0.00261053,3.73823e-120,0.00120171,-1.07635,3.31725e-05,1.7862e-120,-7.98283e-05
1.0793,-0.00231216,1.59197e-121,8.39007e-05,-1.07771,0.000140289,7.28577e-122,5.43975e-05
1.09543,0.00102122,6.46828e-123,-0.00155237,-1.07503,1.60164e-05,2.88953e-123,-6.72017e-05
1.05605,0.000740573,2.35928e-124,-0.0009033,-1.07726,-3.30654e-05,1.17793e-124,-0.000107336
1.04445,0.000412859,1.09851e-125,0.00151225,-1.07784,8.77078e-05,4.99827e-126,1.58831e-05
1.07386,-0.00264254,4.80722e-127,-0.00208262,-1.07453,6.9892e-05,2.02978e-127,9.69912e-05
1.06847,0.000284726,1.86249e-128,0.0019759,-1.07134,-5.89939e-05,8.34973e-129,-7.85515e-06
1.05068,-0.000883867,8.10784e-130,0.00038758,-1.07419,5.08646e-05,3.48169e-130,-1.20751e-05
1.10367,-0.000543881,3.15116e-131,0.00197946,-1.07215,4.40092e-06,1.43158e-131,-7.26291e-05
1.07543,0.000835783,1.204e-132,0.00121715,-1.07645,-0.000112235,5.92238e-133,-1.70059e-05
1.09503,0.00110854,5.27125e-134,-0.0014917,-1.07625,-2.12297e-05,2.42998e-134,6.14501e-06
1.07841,-0.00176496,2.14202e-135,0.00097834,-1.07742,0.000138538,9.98927e-136,6.13481e-06
1.09649,-0.000979273,9.08619e-137,0.000307724,-1.07572,-9.48336e-05,4.03188e-137,9.16802e-06
1.07412,-0.000651484,3.57121e-138,0.000120828,-1.07609,-6.83503e-05,1.68633e-138,7.98227e-05
1.07954,0.00065788,1.55556e-139,0.000800781,-1.0764,8.82583e-05,6.76644e-140,-2.07249e-05
1.10801,-0.00130683,5.8423e-141,-0.000553712,-1.07841,8.16702e-05,2.64873e-141,5.86204e-06
1.06677,0.000742003,2.33643e-142,0.0014406,-1.07645,3.07132e-05,1.09547e-142,-7.54318e-05
1.0641,-0.00127896,1.0194e-143,0.000535605,-1.07612,6.65995e-05,4.47132e-144,-2.9274e-06
1.05087,-0.000883555,3.94442e-145,-0.00135621,-1.07714,-0.000103648,1.79012e-145,-2.94505e-05
1.05451,0.00158375,1.80673e-146,-0.000172665,-1.07688,-1.63743e-05,7.58785e-147,3.49848e-05
1.11414,0.000788255,6.73678e-148,-0.000846481,-1.07852,8.40081e-05,3.10888e-148,6.67626e-05
1.06313,-0.00134067,2.7707e-149,-0.00154642,-1.07749,-2.7826e-05,1.27948e-149,-1.6366e-05
1.08214,-0.00106482,1.11715e-150,0.00211237,-1.07605,4.06696e-05,5.2621e-151,-4.02833e-05
1.06202,0.00244342,4.61091e-152,-0.000666879,-1.07705,3.33724e-05,2.17148e-152,-3.2093e-05
1.06409,0.000933461,1.97037e-153,-0.00113412,-1.07612,-0.000117957,9.06566e-154,-5.62571e-05
1.07897,0.00133354,7.55302e-155,-0.00062457,-1.07657,-9.75958e-05,3.63069e-155,-7.90924e-05
1.06657,-0.00100121,3.0221e-156,-3.33143e-05,-1.07823,-6.14568e-05,1.44485e-156,4.95018e-06
1.0699,0.00126609,1.24678e-157,-0.00121934,-1.07585,-4.58461e-05,5.96975e-158,5.71448e-05
1.0494,0.00237094,5.51278e-159,0.000701929,-1.07558,-0.000170044,2.43179e-159,-1.14655e-05
1.06834,0.000146844,2.2074e-160,-0.000729923,-1.07623,2.31797e-05,1.00607e-160,-5.49274e-05
1.07231,0.000542997,9.39361e-162,0.000394321,-1.07567,5.01609e-05,4.25591e-162,6.71445e-05
1.06574,0.00160801,4.02733e-163,-0.000947281,-1.07387,4.5569e-05,1.80078e-163,-5.54837e-05
1.04928,0.00229882,1.56236e-164,-0.00126483,-1.07679,-2.26913e-05,7.43325e-165,0.000147518
1.09589,-0.000124405,7.2557e-166,0.00150783,-1.07804,-4.5116e-05,3.13426e-166,5.82008e-05
1.08371,-0.000138047,3.0108e-167,0.000335948,-1.07584,-5.38513e-05,1.31957e-167,1.12853e-05
1.03961,-0.000869299,1.32167e-168,-0.000317992,-1.07677,3.65076e-06,5.55772e-169,0.00014533
1.06512,-0.000449275,4.93528e-170,-0.00164448,-1.07587,-7.77632e-05,2.27143e-170,-1.44666e-06
1.10299,0.000259888,2.01647e-171,-0.00239615,-1.07803,-2.84778e-05,9.5201e-172,8.81515e-05
1.04959,0.00147359,9.02724e-173,0.00172277,-1.07496,-0.000115043,3.92583e-173,-3.03378e-05
1.12424,-0.00197081,3.46558e-174,0.000173053,-1.07788,7.29163e-05,1.63744e-174,-4.66214e-05
1.09435,0.000805486,1.50489e-175,-0.00022985,-1.0765,-3.68709e-05,6.66959e-176,2.21764e-05
1.08358,-0.000341251,6.00995e-177,-0.00042429,-1.07616,3.91143e-05,2.73331e-177,-2.26032e-05
1.06638,0.000290594,2.53837e-178,0.000825907,-1.07449,1.79665e-05,1.14859e-178,-2.99592e-05
1.05408,-6.05472e-05,1.02666e-179,0.000759327,-1.07386,-2.78007e-06,4.75266e-180,7.61982e-05
1.04329,-0.00123355,4.19516e-181,-0.00151889,-1.07632,0.000138486,1.95696e-181,-0.000127418
1.08518,-5.72365e-05,1.81595e-182,-0.000627893,-1.07821,7.92749e-05,8.17887e-183,-7.46584e-05
